create|grassland|12
update|cells|10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;10.41;
update|animal|29;1;1;33;1
update|animal|4;1;1;105;2
update|animal|37;1;1;1;1
update|animal|40;1;1;108;2
update|animal|19;1;1;54;1
update|animal|15;1;1;133;1
update|animal|17;1;1;73;1
update|animal|14;1;1;33;2
update|animal|27;1;1;62;1
update|animal|1;1;1;68;1
update|animal|35;1;1;79;1
update|animal|13;1;1;38;1
update|animal|10;1;1;98;2
update|animal|30;1;1;127;2
update|animal|34;1;1;80;2
update|animal|22;1;1;8;2
update|animal|20;1;1;4;2
update|animal|23;1;1;75;1
update|animal|16;1;1;0;2
update|animal|11;1;1;122;1
update|animal|24;1;1;129;2
update|animal|33;1;1;66;1
update|animal|12;1;1;8;2
update|animal|39;1;1;67;1
update|animal|38;1;1;90;2
update|animal|31;1;1;53;1
update|animal|28;1;1;56;2
update|animal|6;1;1;67;2
update|animal|32;1;1;79;2
update|animal|2;1;1;60;2
update|animal|18;1;1;20;2
update|animal|3;1;1;141;1
update|animal|5;1;1;113;1
update|animal|26;1;1;14;2
update|animal|21;1;1;131;1
update|animal|25;1;1;4;1
update|animal|36;1;1;29;2
update|animal|9;1;1;117;1
update|animal|8;1;1;2;2
update|animal|7;1;1;10;1
update|cells|10.1197;10.0196;10.1197;10.8204;9.31891;10.8204;10.8204;10.8204;9.41901;10.8204;10.0196;10.8204;10.8204;10.8204;10.1197;10.8204;10.8204;10.8204;10.8204;10.8204;10.1197;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.1197;10.8204;10.8204;10.8204;9.31891;10.8204;10.8204;10.8204;10.8204;10.0196;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.0196;10.0196;10.8204;10.1197;10.8204;10.8204;10.8204;10.1197;10.8204;10.0196;10.8204;10.8204;10.8204;10.0196;9.31891;10.0196;10.8204;10.8204;10.8204;10.8204;10.0196;10.8204;10.0196;10.8204;10.8204;10.8204;9.31891;10.1197;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.1197;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.1197;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.1197;10.8204;10.8204;10.1197;10.8204;10.8204;10.8204;10.8204;10.0196;10.8204;10.8204;10.8204;10.0196;10.8204;10.8204;10.8204;10.8204;10.0196;10.8204;10.8204;10.8204;10.8204;10.1197;10.8204;10.1197;10.8204;10.0196;10.8204;10.0196;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.8204;10.0196;10.8204;10.8204;
update|animal|23;2;1;74;1
update|animal|12;2;1;7;2
update|animal|14;2;1;20;2
update|animal|11;2;1;135;1
update|animal|7;2;1;142;1
update|animal|31;2;1;65;1
update|animal|6;2;1;54;2
update|animal|33;2;1;55;1
update|animal|25;2;1;135;1
update|animal|34;2;1;81;2
update|animal|28;2;1;43;2
update|animal|39;2;1;68;1
update|animal|15;2;1;1;1
update|animal|20;2;1;15;2
update|animal|40;2;1;97;2
update|animal|29;2;1;34;1
update|animal|22;2;1;19;2
update|animal|32;2;1;92;2
update|animal|5;2;1;114;1
update|animal|36;2;1;41;2
update|animal|35;2;1;80;1
update|animal|37;2;1;132;1
update|animal|38;2;1;89;2
update|animal|9;2;1;116;1
update|animal|8;2;1;3;2
update|animal|27;2;1;61;1
update|animal|3;2;1;130;1
update|animal|24;2;1;141;2
update|animal|26;2;1;15;2
update|animal|2;2;1;71;2
update|animal|19;2;1;41;1
update|animal|13;2;1;39;1
update|animal|21;2;1;120;1
update|animal|1;2;1;55;1
update|animal|16;2;1;143;2
update|animal|4;2;1;106;2
update|animal|18;2;1;21;2
update|animal|17;2;1;60;1
update|animal|10;2;1;86;2
update|animal|30;2;1;114;2
